Temps;Vitesse du véhicule;Tension batterie de traction;Etat de charge de la batterie de traction;Demande de force aux roues lorsque la consigne du groupe motopropulseur est égal à zéro;Température bac de la batterie de traction;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-38-00;M-39-00;M-44-00;M-37-00;M-1B-00
sec;km/h;Volt;%;Nm;°C;A
11,231;2,3;383,00;85,3;-16719;19;-2,65
11,262;2,3;383,00;85,3;-16719;19;-2,65
11,309;2,3;383,00;85,3;-16833;19;-2,65
11,357;2,3;383,00;85,3;-16833;19;-2,65
11,394;2,3;383,00;85,3;-16833;19;-0,90
11,443;2,7;383,00;85,3;-16833;19;-0,90
11,490;2,7;383,50;85,3;-16833;19;-0,90
11,522;2,7;383,50;85,3;-16833;19;-0,90
11,571;2,7;383,50;85,3;-16865;19;-0,90
11,603;2,7;383,50;85,3;-16865;19;-0,90
11,650;2,7;383,50;85,3;-16865;19;-0,90
11,682;2,8;383,50;85,3;-16865;19;-0,90
11,729;2,8;383,00;85,3;-16865;19;-0,90
11,762;2,8;383,00;85,3;-16865;19;-0,90
11,808;2,8;383,00;85,3;-16961;19;-0,90
11,854;2,8;383,00;85,3;-16961;19;-0,90
11,900;2,8;383,00;85,3;-16961;19;-1,15
11,932;3,3;383,00;85,3;-16961;19;-1,15
11,979;3,3;382,50;85,3;-16961;19;-1,15
12,018;3,3;382,50;85,3;-16961;19;-1,15
12,066;3,3;382,50;85,3;-17070;19;-1,15
12,114;3,3;382,50;85,3;-17070;19;-1,15
12,162;3,3;382,50;85,3;-17070;19;-1,65
12,210;3,6;382,50;85,3;-17070;19;-1,65
12,257;3,6;382,50;85,3;-17070;19;-1,65
12,303;3,6;382,50;85,3;-17070;19;-1,65
12,351;3,6;382,50;85,3;-17178;19;-1,65
12,382;3,6;382,50;85,3;-17178;19;-1,65
12,428;3,6;382,50;85,3;-17178;19;-2,15
12,474;4,1;382,50;85,3;-17178;19;-2,15
12,520;4,1;383,00;85,3;-17178;19;-2,15
12,567;4,1;383,00;85,3;-17178;19;-2,15
12,614;4,1;383,00;85,3;-17283;19;-2,15
12,658;4,1;383,00;85,3;-17283;19;-2,15
12,706;4,1;383,00;85,3;-17283;19;-2,65
12,753;4,8;383,00;85,3;-17283;19;-2,65
12,799;4,8;382,50;85,3;-17283;19;-2,65
12,850;4,8;382,50;85,3;-17283;19;-2,65
12,898;4,8;382,50;85,3;-17429;19;-2,65
12,946;4,8;382,50;85,3;-17429;19;-2,65
12,987;4,8;382,50;85,3;-17429;19;-3,65
13,035;5,4;382,50;85,3;-17429;19;-3,65
13,082;5,4;382,50;85,3;-17429;19;-3,65
13,130;5,4;382,50;85,3;-17429;19;-3,65
13,177;5,4;382,50;85,3;-17549;19;-3,65
13,223;5,4;382,50;85,3;-17549;19;-3,65
13,270;5,4;382,50;85,3;-17549;19;-4,40
13,302;6,0;382,50;85,3;-17549;19;-4,40
13,346;6,0;382,50;85,3;-17549;19;-4,40
13,394;6,0;382,50;85,3;-17549;19;-4,40
13,442;6,0;382,50;85,3;-17666;19;-4,40
13,488;6,0;382,50;85,3;-17666;19;-4,40
13,535;6,0;382,50;85,3;-17666;19;-5,65
13,582;6,7;382,50;85,3;-17666;19;-5,65
13,629;6,7;383,00;85,3;-17666;19;-5,65
13,676;6,7;383,00;85,3;-17666;19;-5,65
13,722;6,7;383,00;85,3;-17800;19;-5,65
13,768;6,7;383,00;85,3;-17800;19;-5,65
13,826;6,7;383,00;85,3;-17800;19;-5,90
13,874;7,5;383,00;85,3;-17800;19;-5,90
13,922;7,5;383,00;85,3;-17800;19;-5,90
13,972;7,5;383,00;85,3;-17800;19;-5,90
14,003;7,5;383,00;85,3;-17948;19;-5,90
14,049;7,5;383,00;85,3;-17948;19;-5,90
14,096;7,5;383,00;85,3;-17948;19;-6,15
14,143;8,2;383,00;85,3;-17948;19;-6,15
14,194;8,2;382,50;85,3;-17948;19;-6,15
14,242;8,2;382,50;85,3;-17948;19;-6,15
14,289;8,2;382,50;85,3;-18099;19;-6,15
14,323;8,2;382,50;85,3;-18099;19;-6,15
14,370;8,2;382,50;85,3;-18099;19;-6,15
14,418;9,1;382,50;85,3;-18099;19;-6,15
14,466;9,1;383,00;85,3;-18099;19;-6,15
14,514;9,1;383,00;85,3;-18099;19;-6,15
14,562;9,1;383,00;85,3;-18244;19;-6,15
14,608;9,1;383,00;85,3;-18244;19;-6,15
14,655;9,1;383,00;85,3;-18244;19;-5,40
14,692;9,8;383,00;85,3;-18244;19;-5,40
14,738;9,8;383,00;85,3;-18244;19;-5,40
14,786;9,8;383,00;85,3;-18244;19;-5,40
14,834;9,8;383,00;85,3;-18356;19;-5,40
14,882;9,8;383,00;85,3;-18356;19;-5,40
14,930;9,8;383,00;85,3;-18356;19;-4,15
14,962;10,3;383,00;85,3;-18356;19;-4,15
15,010;10,3;382,50;85,3;-18356;19;-4,15
15,058;10,3;382,50;85,3;-18356;19;-4,15
15,106;10,3;382,50;85,3;-18436;19;-4,15
15,154;10,3;382,50;85,3;-18436;19;-4,15
15,200;10,3;382,50;85,3;-18436;19;-3,40
15,232;10,6;382,50;85,3;-18436;19;-3,40
15,279;10,6;382,00;85,3;-18436;19;-3,40
15,327;10,6;382,00;85,3;-18436;19;-3,40
15,362;10,6;382,00;85,3;-18451;19;-3,40
15,410;10,6;382,00;85,3;-18451;19;-3,40
15,442;10,6;382,00;85,3;-18451;19;-1,90
15,490;10,7;382,00;85,3;-18451;19;-1,90
15,522;10,7;383,50;85,3;-18451;19;-1,90
15,570;10,7;383,50;85,3;-18451;19;-1,90
15,602;10,7;383,50;85,3;-18462;19;-1,90
15,650;10,7;383,50;85,3;-18462;19;-1,90
15,682;10,7;383,50;85,3;-18462;19;-1,40
15,729;10,9;383,50;85,3;-18462;19;-1,40
15,762;10,9;383,50;85,3;-18462;19;-1,40
15,810;10,9;383,50;85,3;-18462;19;-1,40
15,856;10,9;383,50;85,3;-18472;19;-1,40
15,903;10,9;383,50;85,3;-18472;19;-1,40
15,949;10,9;383,50;85,3;-18472;19;-1,15
15,996;11,0;383,50;85,3;-18472;19;-1,15
16,033;11,0;383,50;85,3;-18472;19;-1,15
16,082;11,0;383,50;85,3;-18472;19;-1,15
16,130;11,0;383,50;85,3;-18471;19;-1,15
16,162;11,0;383,50;85,3;-18471;19;-1,15
16,210;11,0;383,50;85,3;-18471;19;-0,65
16,258;11,0;383,50;85,3;-18471;19;-0,65
16,306;11,0;383,50;85,3;-18471;19;-0,65
16,354;11,0;383,50;85,3;-18471;19;-0,65
16,402;11,0;383,50;85,3;-18473;19;-0,65
16,449;11,0;383,50;85,3;-18473;19;-0,65
16,495;11,0;383,50;85,3;-18473;19;-0,65
16,541;11,1;383,50;85,3;-18473;19;-0,65
16,588;11,1;383,50;85,3;-18473;19;-0,65
16,635;11,1;383,50;85,3;-18473;19;-0,65
16,674;11,1;383,50;85,3;-18477;19;-0,65
16,722;11,1;383,50;85,3;-18477;19;-0,65
16,770;11,1;383,50;85,3;-18477;19;0,35
16,802;11,0;383,50;85,3;-18477;19;0,35
16,849;11,0;383,50;85,3;-18477;19;0,35
16,882;11,0;383,50;85,3;-18477;19;0,35
16,928;11,0;383,50;85,3;-18475;19;0,35
16,974;11,0;383,50;85,3;-18475;19;0,35
17,020;11,0;383,50;85,3;-18475;19;0,85
17,067;10,9;383,50;85,3;-18475;19;0,85
17,114;10,9;383,50;85,3;-18475;19;0,85
17,161;10,9;383,50;85,3;-18475;19;0,85
17,208;10,9;383,50;85,3;-18468;19;0,85
17,255;10,9;383,50;85,3;-18468;19;0,85
17,302;10,9;383,50;85,3;-18468;19;2,10
17,348;10,7;383,50;85,3;-18468;19;2,10
17,394;10,7;384,00;85,3;-18468;19;2,10
17,444;10,7;384,00;85,3;-18468;19;2,10
17,488;10,7;384,00;85,3;-18459;19;2,10
17,535;10,7;384,00;85,3;-18459;19;2,10
17,582;10,7;384,00;85,3;-18459;19;2,85
17,629;10,5;384,00;85,3;-18459;19;2,85
17,676;10,5;384,00;85,3;-18459;19;2,85
17,737;10,5;384,00;85,3;-18459;19;2,85
17,784;10,5;384,00;85,3;-18444;19;2,85
17,832;10,5;384,00;85,3;-18444;19;2,85
17,879;10,5;384,00;85,3;-18444;19;3,10
17,926;10,2;384,00;85,3;-18444;19;3,10
17,972;10,2;384,00;85,3;-18444;19;3,10
18,019;10,2;384,00;85,3;-18444;19;3,10
18,066;10,2;384,00;85,3;-18428;19;3,10
18,113;10,2;384,00;85,3;-18428;19;3,10
18,160;10,2;384,00;85,3;-18428;19;3,10
18,192;9,9;384,00;85,3;-18428;19;3,10
18,238;9,9;384,00;85,3;-18428;19;3,10
18,286;9,9;384,00;85,3;-18428;19;3,10
18,332;9,9;384,00;85,3;-18380;19;3,10
18,378;9,9;384,00;85,3;-18380;19;3,10
18,425;9,9;384,00;85,3;-18380;19;2,85
18,472;9,8;384,00;85,3;-18380;19;2,85
18,518;9,8;384,50;85,3;-18380;19;2,85
18,562;9,8;384,50;85,3;-18380;19;2,85
18,610;9,8;384,50;85,3;-18344;19;2,85
18,642;9,8;384,50;85,3;-18344;19;2,85
18,704;9,8;384,50;85,3;-18344;19;2,60
18,754;9,6;384,50;85,3;-18344;19;2,60
18,802;9,6;383,50;85,3;-18344;19;2,60
18,849;9,6;383,50;85,3;-18344;19;2,60
18,882;9,6;383,50;85,3;-18306;19;2,60
18,930;9,6;383,50;85,3;-18306;19;2,60
18,978;9,6;383,50;85,3;-18306;19;1,85
19,027;9,4;383,50;85,3;-18306;19;1,85
19,075;9,4;383,50;85,3;-18306;19;1,85
19,122;9,4;383,50;85,3;-18306;19;1,85
19,168;9,4;383,50;85,3;-18282;19;1,85
19,215;9,4;383,50;85,3;-18282;19;1,85
19,261;9,4;383,50;85,3;-18282;19;1,35
19,308;9,4;383,50;85,3;-18282;19;1,35
19,355;9,4;383,50;85,3;-18282;19;1,35
19,394;9,4;383,50;85,3;-18282;19;1,35
19,442;9,4;383,50;85,3;-18282;19;1,35
19,490;9,4;383,50;85,3;-18282;19;1,35
19,522;9,4;383,50;85,3;-18282;19;1,60
19,570;9,4;383,50;85,3;-18282;19;1,60
19,602;9,4;383,00;85,3;-18282;19;1,60
19,650;9,4;383,00;85,3;-18282;19;1,60
19,682;9,4;383,00;85,3;-18277;19;1,60
19,729;9,4;383,00;85,3;-18277;19;1,60
19,777;9,4;383,00;85,3;-18277;19;2,10
19,825;9,3;383,00;85,3;-18277;19;2,10
19,871;9,3;383,50;85,3;-18277;19;2,10
19,903;9,3;383,50;85,3;-18277;19;2,10
19,949;9,3;383,50;85,3;-18260;19;2,10
19,996;9,3;383,50;85,3;-18260;19;2,10
20,034;9,3;383,50;85,3;-18260;19;2,85
20,082;9,3;383,50;85,3;-18260;19;2,85
20,130;9,3;383,50;85,3;-18260;19;2,85
20,161;9,3;383,50;85,3;-18260;19;2,85
20,210;9,3;383,50;85,3;-18266;19;2,85
20,258;9,3;383,50;85,3;-18266;19;2,85
20,306;9,3;383,50;85,3;-18266;19;3,35
20,354;9,3;383,50;85,3;-18266;19;3,35
20,401;9,3;384,00;85,3;-18266;19;3,35
20,449;9,3;384,00;85,3;-18266;19;3,35
20,496;9,3;384,00;85,3;-18258;19;3,35
20,542;9,3;384,00;85,3;-18258;19;3,35
20,589;9,3;384,00;85,3;-18258;19;3,85
20,636;9,2;384,00;85,3;-18258;19;3,85
20,674;9,2;383,50;85,3;-18258;19;3,85
20,721;9,2;383,50;85,3;-18258;19;3,85
20,770;9,2;383,50;85,3;-18232;19;3,85
20,818;9,2;383,50;85,3;-18232;19;3,85
20,866;9,2;383,50;85,3;-18232;19;3,85
20,913;9,0;383,50;85,3;-18232;19;3,85
20,962;9,0;383,50;85,3;-18232;19;3,85
21,010;9,0;383,50;85,3;-18232;19;3,85
21,058;9,0;383,50;85,3;-18186;19;3,85
21,105;9,0;383,50;85,3;-18186;19;3,85
21,152;9,0;383,50;85,3;-18186;19;4,85
21,199;8,7;383,50;85,3;-18186;19;4,85
21,246;8,7;383,50;85,3;-18186;19;4,85
21,292;8,7;383,50;85,3;-18186;19;4,85
21,340;8,7;383,50;85,3;-18124;19;4,85
21,394;8,7;383,50;85,3;-18124;19;4,85
21,442;8,7;383,50;85,3;-18124;19;5,85
21,490;8,2;383,50;85,3;-18124;19;5,85
21,522;8,2;384,50;85,3;-18124;19;5,85
21,570;8,2;384,50;85,3;-18124;19;5,85
21,602;8,2;384,50;85,3;-18037;19;5,85
21,650;8,2;384,50;85,3;-18037;19;5,85
21,682;8,2;384,50;85,3;-18037;19;5,85
21,729;7,7;384,50;85,3;-18037;19;5,85
21,764;7,7;384,50;85,3;-18037;19;5,85
21,824;7,7;384,50;85,3;-18037;19;5,85
21,871;7,7;384,50;85,3;-17942;19;5,85
21,917;7,7;384,50;85,3;-17942;19;5,85
21,964;7,7;384,50;85,3;-17942;19;5,60
22,012;7,2;384,50;85,3;-17942;19;5,60
22,066;7,2;383,50;85,3;-17942;19;5,60
22,114;7,2;383,50;85,3;-17942;19;5,60
22,161;7,2;383,50;85,3;-17836;19;5,60
22,209;7,2;383,50;85,3;-17836;19;5,60
22,258;7,2;383,50;85,3;-17836;19;5,10
22,306;6,7;383,50;85,3;-17836;19;5,10
22,353;6,7;383,50;85,3;-17836;19;5,10
22,400;6,7;383,50;85,3;-17836;19;5,10
22,448;6,7;383,50;85,3;-17757;19;5,10
22,494;6,7;383,50;85,3;-17757;19;5,10
22,541;6,7;383,50;85,3;-17757;19;4,35
22,589;6,4;383,50;85,3;-17757;19;4,35
22,636;6,4;383,50;85,3;-17757;19;4,35
22,674;6,4;383,50;85,3;-17757;19;4,35
22,722;6,4;383,50;85,3;-17702;19;4,35
22,770;6,4;383,50;85,3;-17702;19;4,35
22,818;6,4;383,50;85,3;-17702;19;3,35
22,866;6,0;383,50;85,3;-17702;19;3,35
