Temps;Vitesse du véhicule;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-1B-00
sec;km/h;A
32,933;44,4;-1,40
32,991;44,4;-1,40
33,054;44,5;-1,40
33,102;44,5;-1,65
33,154;44,8;-1,65
33,201;44,8;-1,90
33,255;45,0;-1,90
33,302;45,0;-3,90
33,355;45,1;-3,90
33,402;45,1;-4,65
33,455;45,2;-4,65
33,502;45,2;-9,15
33,557;45,5;-9,15
33,604;45,5;-5,40
33,656;45,6;-5,40
33,705;45,6;-4,40
33,757;45,8;-4,40
33,803;45,8;-4,65
33,856;45,9;-4,65
33,904;45,9;-3,90
33,957;46,1;-3,90
34,015;46,1;-4,40
34,057;46,3;-4,40
34,108;46,3;-6,65
34,156;46,4;-6,65
34,204;46,4;-6,65
34,257;46,3;-6,65
34,305;46,3;-1,90
34,357;46,5;-1,90
34,406;46,5;-0,15
34,457;46,7;-0,15
34,504;46,7;4,35
34,557;46,9;4,35
34,605;46,9;-0,40
34,658;46,9;-0,40
34,705;46,9;-1,15
34,758;46,9;-1,15
34,805;46,9;-0,65
34,858;46,9;-0,65
34,906;46,9;-0,65
34,953;47,0;-0,65
35,010;47,0;-0,40
35,058;47,1;-0,40
35,107;47,1;-2,15
35,158;47,3;-2,15
35,205;47,3;-2,65
35,258;47,4;-2,65
35,305;47,4;-2,40
35,343;47,5;-2,40
35,389;47,5;-1,90
35,436;47,5;-1,90
35,491;47,5;-1,15
35,543;47,6;-1,15
35,591;47,6;-0,40
35,640;47,7;-0,40
35,692;47,7;2,85
35,744;47,7;2,85
35,792;47,7;0,35
35,839;47,8;0,35
35,891;47,8;2,35
35,938;47,9;2,35
35,992;47,9;3,35
36,039;48,0;3,35
36,092;48,0;3,60
36,140;48,0;3,60
36,192;48,0;5,35
36,239;48,0;5,35
36,292;48,0;7,10
36,361;48,0;7,10
36,401;48,0;9,60
36,433;48,0;9,60
36,494;48,0;13,60
36,542;48,0;13,60
36,593;48,0;18,85
36,640;48,0;18,85
36,698;48,0;23,10
36,762;47,9;23,10
36,809;47,9;27,60
36,862;47,8;27,60
36,909;47,8;30,35
36,962;47,7;30,35
37,011;47,7;32,60
37,063;47,6;32,60
37,111;47,6;34,60
37,165;47,4;34,60
37,221;47,4;36,60
37,263;47,2;36,60
37,310;47,2;38,10
37,363;47,0;38,10
37,410;47,0;39,10
37,463;46,9;39,10
37,512;46,9;40,35
37,563;46,6;40,35
37,611;46,6;41,10
37,664;46,4;41,10
37,711;46,4;41,85
37,770;46,2;41,85
37,817;46,2;42,60
37,864;46,1;42,60
37,911;46,1;39,10
37,964;45,8;39,10
38,013;45,8;33,60
38,071;45,6;33,60
38,120;45,6;28,10
38,165;45,5;28,10
38,207;45,5;20,35
38,265;45,4;20,35
38,313;45,4;14,10
38,365;45,3;14,10
38,412;45,3;10,10
38,465;45,2;10,10
38,513;45,2;8,35
38,566;45,1;8,35
38,614;45,1;6,85
38,666;45,1;6,85
38,714;45,1;7,10
38,766;45,0;7,10
38,814;45,0;7,85
38,867;45,1;7,85
38,915;45,1;8,35
38,967;45,0;8,35
39,015;45,0;6,85
39,067;45,0;6,85
39,115;45,0;7,35
39,167;44,9;7,35
39,214;44,9;9,10
39,267;44,9;9,10
39,314;44,9;10,10
39,367;44,8;10,10
39,424;44,8;9,85
39,467;44,7;9,85
39,515;44,7;9,85
39,567;44,7;9,85
39,604;44,7;10,35
39,668;44,6;10,35
39,715;44,6;10,85
39,768;44,6;10,85
39,816;44,6;11,85
39,869;44,5;11,85
39,916;44,5;12,60
39,974;44,4;12,60
40,022;44,4;14,10
40,069;44,3;14,10
40,117;44,3;14,85
40,168;44,1;14,85
40,215;44,1;15,85
40,269;44,1;15,85
40,317;44,1;16,35
40,353;43,9;16,35
40,400;43,9;17,35
40,447;43,8;17,35
40,502;43,8;17,85
40,554;43,7;17,85
40,602;43,7;18,60
40,650;43,6;18,60
40,701;43,6;18,85
40,749;43,4;18,85
